run_id,pattern_id,Ave P,CC-Ave P,CCH-P,CCTF-P,Ave CT,CC-Ave CT,CCH-CT,CCTF-CT,Ave RD,CC-Ave RD,CCH-RD,CCTF-RD,Ave CGT,CC-Ave CGT,CCH-CGT,CCTF-CGT,Ave CCU,CC-Ave CCU,CCH-CCU,CCTF-CCU,CCC Score
73,1,3.9092851,3.878472162,0.104077294,0.123703563,3.752299156,3.74444887,0.102094072,0.093885633,2.865874681,2.804850991,0.167500429,0.555163962,3.835279151,3.888709747,0.152953605,0.106102394,2.538332251,2.520332825,0.1169726,0.200024885,0.224032738
56,4,3.784743023,3.705075921,0.321908436,0.19365401,3.635590945,3.634336154,0.210296816,0.184469741,2.894808397,2.893848849,0.381295348,0.350156937,3.854501026,3.894351327,0.145830663,0.17094917,2.335997857,2.324063325,0.038268321,0.140544801,0.159166667
38,2,3.888643305,3.892451952,0.093511461,0.073538276,3.802631935,3.798357009,0.091623213,0.034760805,3.053251411,2.943587708,0.36254464,0.353277813,3.713014694,3.770987691,0.17808577,0.166655431,2.639134183,2.584279988,0.159037074,0.146544616,0.130208333
64,4,3.92568858,3.916836312,0.124446883,0.120083634,3.692808731,3.684966033,0.095643995,0.114203276,3.032275247,2.948284403,0.517219634,0.522095787,3.811398136,3.802223192,0.142670236,0.170427894,2.397610269,2.395637725,0.054632705,0.086327249,0.1875
14,2,3.964080001,3.973423164,0.093827996,0.105450747,3.808416505,3.820259393,0.066361759,0.146429934,2.962614607,2.960049213,0.133110549,0.389781955,3.759294822,3.764338972,0.112977534,0.143686293,2.468527632,2.463505429,0.046037137,0.131168589,0.278645833
8,4,3.933824021,3.931913383,0.055675966,0.138827973,3.752771883,3.716919235,0.189398299,0.095153107,3.272236239,3.020060256,0.505691635,0.3879815,3.632006124,3.75597136,0.254861545,0.098928096,2.770641266,2.711363936,0.124273366,0.197598709,0.244568452
22,2,3.917658995,3.871787167,0.268350218,0.158933805,3.788604929,3.788421212,0.024848182,0.137476546,3.108786412,3.032751348,0.168477934,0.189489322,3.818132701,3.817379619,0.061042425,0.201132045,2.566309585,2.560052489,0.018816046,0.215128144,0.316592262
72,4,3.860760451,3.85719426,0.112707303,0.117952564,3.723580966,3.705246232,0.100469434,0.114782049,3.048610944,3.03761922,0.096322687,0.496534189,3.763933658,3.833568313,0.298977377,0.101227465,2.67788233,2.651291064,0.142673917,0.188927805,0.101041667
55,3,3.683870839,3.579469366,0.417900502,0.213661348,3.623183185,3.586194461,0.215384243,0.152681394,3.289381301,3.039139484,0.328107322,0.383841039,3.770598837,3.870655595,0.270233541,0.041376621,2.657950804,2.625192594,0.125649298,0.197293188,0.095833333
16,4,3.782379775,3.753352939,0.187307387,0.222620351,3.651540612,3.679975302,0.153370791,0.102779814,3.076660208,3.047809662,0.121095826,0.67647087,3.690520002,3.747805257,0.159750561,0.145779509,2.453937545,2.438529677,0.044198672,0.157227321,0.120982143
20,4,3.678218536,3.652102255,0.212769347,0.196757566,3.740136856,3.741715833,0.116593627,0.057300897,3.226745497,3.049757017,0.645780673,0.560436114,3.797940193,3.844802599,0.258897686,0.116454064,2.43260915,2.433653358,0.069119991,0.160784368,0.213541667
87,3,3.85584037,3.799541702,0.241501957,0.111882762,3.710382985,3.70842609,0.071467903,0.210970649,3.093352929,3.073287128,0.261096992,0.273590998,3.550870269,3.58040887,0.233497227,0.175524335,2.692518984,2.660846584,0.115671281,0.169792102,0.201041667
90,2,3.868683372,3.854848898,0.070941733,0.135665502,3.712192246,3.726548411,0.062524843,0.143628803,3.071538212,3.081561675,0.177224901,0.387865879,3.560865763,3.686478097,0.256671987,0.076996267,2.731985416,2.69405241,0.093952578,0.237982733,0.1875
86,2,3.763313703,3.700309405,0.176395558,0.293255483,3.687310023,3.678316992,0.059261899,0.105515247,3.078222587,3.092543779,0.193629772,0.437257833,3.587300847,3.717659312,0.397994154,0.114725604,2.809980224,2.772683331,0.107485905,0.227443,0.066666667
75,3,3.815577141,3.818957392,0.200032991,0.140381089,3.761590782,3.754621008,0.090225196,0.144428197,3.19404773,3.095790087,0.314488219,0.234073499,3.793254247,3.813449064,0.207588385,0.178385796,2.486804129,2.494487141,0.12033123,0.291869699,0.280729167
5,1,3.896558684,3.890206839,0.057428567,0.114810967,3.710462976,3.709815388,0.139507498,0.098266831,3.158088536,3.114586129,0.207234397,0.19648946,3.66704834,3.661717625,0.34828873,0.134453931,2.773615153,2.790256634,0.23832313,0.156219226,0.204166667
100,4,3.768704606,3.737280272,0.276045752,0.203829099,3.717214613,3.716337838,0.07542049,0.196467865,3.27825413,3.120220764,0.409448716,0.308150449,3.831336926,3.808042203,0.198783215,0.315307235,2.364195099,2.387457082,0.17884281,0.144981801,0.068333333
78,2,3.849351335,3.849018698,0.061779312,0.155292485,3.735026515,3.7409692,0.046826233,0.08599555,3.195748641,3.125112052,0.249423992,0.460471437,3.710889571,3.714473646,0.113970604,0.296066641,2.446251039,2.448524302,0.019707624,0.233275496,0.246875
34,2,3.769063178,3.704214211,0.23858109,0.274024292,3.724468723,3.709467914,0.087056325,0.150250736,3.08826567,3.1273162,0.078068597,0.564223871,3.637521038,3.730175756,0.272195664,0.133776681,2.774150692,2.737866798,0.11150953,0.268665415,0.175
39,3,3.87302615,3.874527706,0.143598751,0.176467037,3.824929653,3.831978742,0.118182598,0.187754398,3.153233272,3.128626194,0.124939561,0.277600048,3.63739577,3.619615945,0.070654186,0.204452768,2.636800039,2.61000273,0.108528377,0.226648559,0.322247024
44,4,3.866326274,3.844032802,0.241610899,0.146507755,3.713410423,3.70157634,0.111024109,0.123275853,3.182702987,3.134937513,0.212692706,0.30603912,3.610812737,3.688478924,0.415350742,0.194318788,2.775658267,2.753155989,0.124453514,0.230634784,0.264166667
49,1,3.920565611,3.863600677,0.138923403,0.085941778,3.729960681,3.71664054,0.092803579,0.175716377,3.178007835,3.139948339,0.266960413,0.309815222,3.844764517,3.873667312,0.095640218,0.219408505,2.438609159,2.415820055,0.113048569,0.139491619,0.067708333
96,4,3.808391238,3.782768448,0.421479659,0.110177311,3.712066291,3.709161723,0.103346756,0.082698812,3.17469684,3.14705756,0.17988823,0.401517839,3.751780931,3.763473682,0.213395088,0.144485708,2.592749656,2.601949129,0.16378589,0.199030716,0.206597222
18,2,3.962996305,3.94727368,0.066058818,0.05436828,3.713302021,3.718900049,0.126933269,0.154805863,3.182753803,3.149540046,0.206036392,0.289285975,3.746183988,3.793669767,0.206556485,0.096402903,2.537052096,2.520690826,0.086735835,0.196688997,0.152083333
47,3,3.951570754,3.890125696,0.189223891,0.164782703,3.736503562,3.711320781,0.137276625,0.074598262,3.167705162,3.159932453,0.242906456,0.479883794,3.873950416,3.90929462,0.115843144,0.133693165,2.412901679,2.394294863,0.06199086,0.198861196,0
32,4,3.813328522,3.783734026,0.314082331,0.105615692,3.771535477,3.778353935,0.116356567,0.105621985,3.137909217,3.176210152,0.472348371,0.431301223,3.905016957,3.903757606,0.085290694,0.147977227,2.270583797,2.282469149,0.11599545,0.121893197,0.255833333
71,3,3.935729254,3.945535028,0.08438395,0.093277238,3.744286952,3.748679364,0.086068096,0.097262818,3.178895641,3.17623735,0.113632689,0.441770852,3.958766076,3.9584895,0.022128148,0.058176916,2.51846323,2.524152014,0.065859801,0.163857763,0.28125
89,1,3.914739397,3.894199773,0.191144563,0.094632445,3.803699939,3.802958073,0.102841457,0.083128845,3.201028288,3.204711547,0.351483277,0.223658781,3.620343643,3.671442186,0.301483416,0.231666555,2.695504257,2.674770253,0.174270626,0.193807069,0.332986111
93,1,3.793591438,3.737299363,0.222919796,0.217147421,3.694291655,3.686384622,0.061228566,0.1774502,3.259917097,3.206040878,0.232643552,0.276788999,3.693031561,3.758044634,0.268180598,0.110780138,2.735458741,2.74384136,0.085368362,0.247250469,0.196577381
42,2,3.716377367,3.651177196,0.407730112,0.297719815,3.720934656,3.696688456,0.148517654,0.145394109,3.222636537,3.207551714,0.487846845,0.409319001,3.624187164,3.688237842,0.233466585,0.231341352,2.572194342,2.55437704,0.089882136,0.266631351,0.177678571
50,2,3.851803463,3.860337655,0.142836016,0.171192399,3.761095397,3.759535619,0.101226803,0.102865849,3.280839329,3.212324875,0.313600723,0.255906874,3.754665621,3.814164167,0.251581227,0.093425464,2.347339789,2.337490196,0.066621611,0.213475318,0.2175
24,4,3.647272854,3.655999339,0.203037074,0.227540056,3.637947368,3.644851597,0.163158058,0.135239111,3.135668296,3.220146591,0.302361127,0.225947606,3.738210645,3.772250713,0.260607565,0.129854255,2.542146133,2.530823551,0.110371912,0.173300706,0.180555556
30,2,3.70489534,3.644022596,0.358970311,0.223889598,3.699071474,3.701753428,0.0984863,0.136105948,3.153918674,3.222495518,0.305246768,0.320997669,3.762072412,3.804120992,0.220786894,0.159912474,2.763658181,2.734632192,0.169477694,0.154849077,0.139166667
25,1,3.958994144,3.950511806,0.068787246,0.105290005,3.785706845,3.789998423,0.045069273,0.130799045,3.26633222,3.222722078,0.270019623,0.254379898,3.704298976,3.710216539,0.14495609,0.217380519,2.55815341,2.555192421,0.025496677,0.30301528,0.328794643
94,2,3.954137129,3.940848409,0.1166515,0.168928133,3.75888253,3.733951258,0.110548463,0.158986604,3.292964046,3.223916737,0.203712808,0.464358017,3.578211975,3.658773108,0.298300338,0.101636274,2.720408813,2.692170461,0.11333111,0.170543101,0.316517857
67,3,3.880867786,3.872978881,0.169065424,0.14077312,3.814620006,3.848369314,0.119850724,0.158839907,3.242703469,3.225038854,0.354555643,0.261625528,3.747678359,3.757532631,0.201317186,0.244481844,2.651350713,2.662555542,0.115787466,0.260284127,0.402083333
2,2,3.871838995,3.807444946,0.227433858,0.226651265,3.728948297,3.728054351,0.108596818,0.185703289,3.234085125,3.226822009,0.072945349,0.381093453,3.528644451,3.588502612,0.204763895,0.541922595,2.618278385,2.605184318,0.030415609,0.39363176,0.320089286
15,3,3.975552709,3.963258879,0.041919823,0.090222145,3.794139176,3.809663577,0.100280321,0.089408737,3.308706622,3.227803505,0.145727287,0.354594441,3.654912283,3.746712515,0.308823744,0.109666713,2.685496175,2.663143736,0.082380509,0.115693536,0.229166667
12,4,3.834692379,3.812076078,0.110636382,0.15380524,3.700828286,3.693009391,0.175562499,0.132622038,3.145186435,3.228160161,0.129032715,0.366852864,3.811397474,3.875382947,0.220552419,0.103352969,2.411926441,2.371380871,0.111356716,0.158118046,0.16
92,4,3.91465936,3.906589109,0.109006835,0.098825124,3.738372106,3.725764474,0.08628668,0.113997501,3.217493275,3.231471394,0.152330459,0.24378393,3.780109873,3.79488013,0.13055449,0.194292479,2.405784663,2.414282933,0.067545457,0.166271309,0.13452381
43,3,3.840402205,3.858780879,0.149358052,0.144137248,3.72889277,3.73121777,0.121154595,0.129510084,3.272774862,3.231954666,0.207582371,0.507992862,3.730012006,3.721894077,0.070220183,0.25605317,2.522423508,2.526007756,0.052702314,0.262238043,0.192708333
6,2,3.68915785,3.645361476,0.255069018,0.225509218,3.737329365,3.713952687,0.1738699,0.12777868,3.307747046,3.233307435,0.4618901,0.331540987,3.595214408,3.739733764,0.396418987,0.097042796,2.751896841,2.705346711,0.155603879,0.096593978,0.20375
45,1,3.796390037,3.809409952,0.113231753,0.198709623,3.719285061,3.721433379,0.11114065,0.117897168,3.23860971,3.234641468,0.257218855,0.290243054,3.864991584,3.859519437,0.03787435,0.101396443,2.514254847,2.503459106,0.111859485,0.241471595,0.095833333
70,2,3.974058113,3.955814994,0.160955,0.109669349,3.67911768,3.652808272,0.134351462,0.180056468,3.289820629,3.237237357,0.248008131,0.342100924,3.796504866,3.86004922,0.187283281,0.045536519,2.62983887,2.630339848,0.023096205,0.140962243,0.236458333
