Metric,Sample_Type,Mean_No,Mean_Yes,Diff,t_stat,dof,p_value,Cohens_d,Significance,N_No,N_Yes
ID-Ave P,Dept(N=200),3.863534883023259,3.8326515387430895,-0.030883344280169478,-1.5394835097230348,139.98794438361196,0.1259436734305079,-0.2319659678261092,ns,126,74
ID-Ave CT,Dept(N=200),3.7402074619835703,3.7401737304343117,-3.3731549258675386e-05,-0.0032747636273667054,143.07644511031515,0.9973916828697059,-0.000490055804122577,ns,126,74
ID-Ave RD,Dept(N=200),3.2696722946582217,3.237306779419646,-0.03236551523857578,-1.2121820253236315,137.13076763422129,0.22752708364362223,-0.18383647048023788,ns,126,74
ID-Ave DGT,Dept(N=200),3.557960289841986,3.5924477814954714,0.034487491653485414,1.3032256852694684,174.72166778137353,0.19421248403297658,0.18235659775362925,ns,126,74
ID-Ave CDU,Run(N=100),2.6923387292197742,2.58627985783549,-0.10605887138428427,-2.992451581220132,67.28184618293994,0.003866719409823269,-0.6430841146506219,**,63,37
IDIH-P,Dept(N=200),0.1792132852209224,0.20711104184457882,0.027897756623656428,1.958225383856344,142.96220763299954,0.05215038248305294,0.2931147150030722,†,126,74
IDIH-CT,Dept(N=200),0.19472847762677273,0.18391455902134393,-0.010813918605428796,-1.2442516080519441,146.7568758509277,0.21539052663734426,-0.18470838375279466,ns,126,74
IDIH-RD,Dept(N=200),0.3955179916819748,0.42533475431242085,0.029816762630446025,1.3173127397974602,126.67401308375456,0.19011161942909088,0.20484019707567222,ns,126,74
IDIH-DGT,Dept(N=200),0.11670044644078807,0.11388502595670709,-0.0028154204840809827,-0.4455107412606033,181.79339888260202,0.6564807738807846,-0.06134128138957367,ns,126,74
IDIH-CDU,Run(N=100),0.1841795366548587,0.1696643982077008,-0.014515138447157905,-1.5514204864067627,88.98639548909264,0.12435037401016509,-0.3032178078319601,ns,63,37
IDTF-P,Dept(N=200),0.17424330335639712,0.18725394147840174,0.01301063812200462,1.09847800756633,143.99559908951738,0.2738291381554706,0.16405126301970716,ns,126,74
IDTF-CT,Dept(N=200),0.16443699070139015,0.16689037801603654,0.0024533873146463936,0.3132912943561523,167.9066290624058,0.7544481921597935,0.044483254317073825,ns,126,74
IDTF-RD,Dept(N=200),0.4022474956107652,0.45974399665397436,0.057496501043209136,2.7421688216629323,119.73008372134146,0.007040645826388393,0.4341689991647498,**,126,74
IDTF-DGT,Dept(N=200),0.2700777547474403,0.24768673199932756,-0.02239102274811272,-1.5700415046087643,169.81122059928373,0.1182669237110461,-0.22202872353539185,ns,126,74
IDTF-CDU,Run(N=100),0.2429992687293091,0.21695919324445026,-0.026040075484858843,-1.8220180417482892,84.52637174498022,0.07198908284539468,-0.36329123230101096,†,63,37
