Category,Metric,p_Sup,p_Sub,p_Int,eta_Sup,eta_Sub,eta_Int,F_Sup,F_Sub,F_Int,df_Sup,df_Sub,df_Int,df_Err,dir_Sup,dir_Sub,dir_Int
Organization_Level,CCC Score,0.796214708,0.895468036,0.401905612,0.000698098,0.000180745,0.007330128,0.067064221,0.017354632,0.708888552,1,1,1,96,-1,1,0
Organization_Level,CC-Ave P,0.206509592,0.189568348,0.165370235,0.01657003,0.017858837,0.019948875,1.617525314,1.74562313,1.954073541,1,1,1,96,-1,-1,0
Organization_Level,CC-Ave CT,0.055042568,0.327004185,0.867683529,0.037807929,0.010009339,0.000290593,3.772179429,0.970611767,0.027905085,1,1,1,96,-1,-1,0
Organization_Level,CC-Ave RD,0.010370359,0.270690073,0.62257225,0.066481322,0.012623555,0.002533594,6.836721123,1.227354899,0.243842775,1,1,1,96,-1,-1,0
Organization_Level,CC-Ave CGT,0.51044685,0.251112717,0.851148587,0.004525271,0.013696712,0.000368657,0.436400861,1.333144068,0.035404092,1,1,1,96,1,1,0
Organization_Level,CC-Ave CCU,0.094853097,0.037830656,0.465720021,0.028791481,0.044152422,0.005556276,2.845920433,4.434422996,0.536382835,1,1,1,96,-1,-1,0
Organization_Level,CCH-P,0.544481076,0.059636733,0.028945381,0.003838601,0.036463636,0.048727641,0.369925723,3.6329807,4.917470238,1,1,1,96,1,1,0
Organization_Level,CCH-CT,0.587987323,0.322208027,0.199559651,0.003068518,0.010208736,0.017083382,0.295484453,0.990146795,1.668508479,1,1,1,96,-1,1,0
Organization_Level,CCH-RD,0.148001884,0.081406767,0.91186828,0.021674498,0.031295701,0.000128268,2.126850182,3.101449377,0.012315332,1,1,1,96,1,1,0
Organization_Level,CCH-CGT,0.729491801,0.074884295,0.569009071,0.001251332,0.032674028,0.003390453,0.120278406,3.242657377,0.326590798,1,1,1,96,1,-1,0
Organization_Level,CCH-CCU,0.354214022,0.483356952,0.44945162,0.008947042,0.005131001,0.005971889,0.866670206,0.495116509,0.576745558,1,1,1,96,-1,-1,0
Organization_Level,CCTF-P,0.026229615,0.894298002,0.100610058,0.050418997,0.000184837,0.027833334,5.09722048,0.017747653,2.748499974,1,1,1,96,1,-1,0
Organization_Level,CCTF-CT,0.446153969,0.841148148,0.599064692,0.006059,0.000420536,0.002890106,0.585209809,0.04038846,0.278254354,1,1,1,96,-1,1,0
Organization_Level,CCTF-RD,0.019918263,0.247360506,0.131584897,0.055161943,0.013914055,0.023526696,5.604713425,1.354597219,2.312979623,1,1,1,96,1,1,0
Organization_Level,CCTF-CGT,0.641898842,0.667860037,0.895383949,0.002261984,0.001926026,0.000181037,0.217642791,0.185255288,0.017382728,1,1,1,96,1,1,0
Organization_Level,CCTF-CCU,0.066030583,0.138237638,0.774702123,0.034762956,0.022746888,0.0008575,3.457434423,2.234529859,0.082390612,1,1,1,96,-1,-1,0
