Folder,Y_Variable,X_Variable,Slope(Beta),Intercept,R_squared,p_value,Significance,N
01_全体傾向\X_Ave_P,Ave CT,Ave P,0.17821670697785164,3.053504416642304,0.13772706983656072,0.00014400710333211056,***,100
01_全体傾向\X_Ave_P,Ave RD,Ave P,0.09494158904967182,2.8977736196978694,0.005700792345367033,0.4552990800649851,(n.s.),100
01_全体傾向\X_Ave_P,Ave CGT,Ave P,-0.3258829281908077,4.957202884263322,0.0714087101925534,0.007194463059809032,**,100
01_全体傾向\X_Ave_P,Ave CCU,Ave P,0.38283360187527454,1.1348340804892967,0.054791661271771284,0.019078336119737766,*,100
01_全体傾向\X_Ave_P,Ave DGT,Ave P,-0.043582219431063,3.738603892658725,0.0009571841844697444,0.7599340682853558,(n.s.),100
01_全体傾向\X_Ave_P,Ave CDU,Ave P,0.5130351931698283,0.676832155301635,0.08571770766733545,0.003116461785210663,**,100
01_全体傾向\X_Ave_CT,Ave P,Ave CT,0.7728067259916159,0.9617960368041389,0.13772706983656072,0.00014400710333211056,***,100
01_全体傾向\X_Ave_CT,Ave RD,Ave CT,0.4765104378821836,1.4813429231879673,0.033116511906931906,0.06997421204578042,(n.s.),100
01_全体傾向\X_Ave_CT,Ave CGT,Ave CT,-0.4461580950572055,5.370505405394738,0.03086619138408715,0.08039202455563732,(n.s.),100
01_全体傾向\X_Ave_CT,Ave CCU,Ave CT,0.5368494634822939,0.6017245060973635,0.024847170364320527,0.11728083208654344,(n.s.),100
01_全体傾向\X_Ave_CT,Ave DGT,Ave CT,-0.1808543811723774,4.24711851815463,0.003801127327450715,0.5422847852467771,(n.s.),100
01_全体傾向\X_Ave_CT,Ave CDU,Ave CT,0.5951786634926042,0.4271206140682908,0.026604093266114664,0.104921663052732,(n.s.),100
01_全体傾向\X_Ave_RD,Ave P,Ave RD,0.06004525943192795,3.656146137686757,0.005700792345367033,0.4552990800649851,(n.s.),100
01_全体傾向\X_Ave_RD,Ave CT,Ave RD,0.06949797795430433,3.5132071171241774,0.033116511906931906,0.06997421204578042,(n.s.),100
01_全体傾向\X_Ave_RD,Ave CGT,Ave RD,-0.24565109179780215,4.5035499969687685,0.064156865410503,0.011000475703938653,*,100
01_全体傾向\X_Ave_RD,Ave CCU,Ave RD,0.3404308188809465,1.4985533770413346,0.06850620015163025,0.008526267464152203,**,100
