Folder,Y_Variable,X_Variable,Slope(Beta),Intercept,R_squared,p_value,Significance,N
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_P,CC-Ave CT,CC-Ave P,0.16818405753172494,3.0922656013675773,0.1509027464853399,6.50197350367187e-05,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_P,CC-Ave RD,CC-Ave P,0.04930413755812603,3.0643557984927634,0.0016529563567071865,0.687963525214834,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_P,CC-Ave CGT,CC-Ave P,-0.3488008082664481,5.083073849393779,0.14588810661614313,8.808564559546272e-05,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_P,CC-Ave CCU,CC-Ave P,0.33194993267810496,1.326827606555586,0.06330295711856755,0.011565356702564637,*,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CT,CC-Ave P,CC-Ave CT,0.8972476267964625,0.473245759393794,0.1509027464853399,6.50197350367187e-05,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CT,CC-Ave RD,CC-Ave CT,0.3612478662381179,1.9034778834831183,0.016633274042382188,0.2009555245995625,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CT,CC-Ave CGT,CC-Ave CT,-0.574326207234412,5.894353200157536,0.07414036136290947,0.006132236995878803,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CT,CC-Ave CCU,CC-Ave CT,0.3309557081685723,1.3602204399945612,0.011794813759528162,0.2821195309988109,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_RD,CC-Ave P,CC-Ave RD,0.03352571282194055,3.715915377348023,0.0016529563567071865,0.687963525214834,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_RD,CC-Ave CT,CC-Ave RD,0.04604393713267858,3.5857867210469974,0.016633274042382188,0.2009555245995625,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_RD,CC-Ave CGT,CC-Ave RD,-0.17378886204404717,4.314245536967739,0.05326159249245471,0.02088204942877415,*,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_RD,CC-Ave CCU,CC-Ave RD,0.2811751276616105,1.681880404775053,0.0667940805589234,0.009425328874181632,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CGT,CC-Ave P,CC-Ave CGT,-0.41825621718370437,5.392981831669676,0.14588810661614313,8.808564559546272e-05,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CGT,CC-Ave CT,CC-Ave CGT,-0.12909102950381124,4.219516996485077,0.07414036136290947,0.006132236995878803,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CGT,CC-Ave RD,CC-Ave CGT,-0.30647299180171544,4.401885598507661,0.05326159249245471,0.02088204942877415,*,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CGT,CC-Ave CCU,CC-Ave CGT,-1.0801167917171863,6.645798786455531,0.5589273237799258,4.066076511106476e-19,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CCU,CC-Ave P,CC-Ave CCU,0.19070031618278122,3.329814081877329,0.06330295711856755,0.011565356702564637,*,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CCU,CC-Ave CT,CC-Ave CCU,0.03563864731265029,3.643028303471544,0.011794813759528162,0.2821195309988109,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CCU,CC-Ave RD,CC-Ave CCU,0.23755330392988713,2.6361292051887073,0.0667940805589234,0.009425328874181632,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Ave\X_CC-Ave_CCU,CC-Ave CGT,CC-Ave CCU,-0.5174693404139517,5.092543430385544,0.5589273237799258,4.066076511106476e-19,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_P,CCH-P,CC-Ave P,-0.714254941384026,2.909910855634065,0.6088129472686504,1.0891014388898362e-21,***,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_P,CCH-CT,CC-Ave P,-0.06825794554749184,0.3728022523538124,0.036890021687949984,0.05556981585978552,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_P,CCH-RD,CC-Ave P,-0.30516146885653656,1.4124590223540046,0.09891946748375727,0.0014381298433594938,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_P,CCH-CGT,CC-Ave P,-0.06723981914892994,0.47400608458278903,0.007705104687826177,0.3851594107127676,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_P,CCH-CCU,CC-Ave P,-0.05506468632313111,0.3135849290754995,0.020543230789462397,0.15484412419028784,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CT,CCH-P,CC-Ave CT,-0.5482087803020845,2.225774813418166,0.06722670943044681,0.009189521042788033,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CT,CCH-CT,CC-Ave CT,-0.25956054929269673,1.0813227875785654,0.09998903155921224,0.0013505996054166683,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CT,CCH-RD,CC-Ave CT,-0.4886810767074259,2.070724697572962,0.04754949711288592,0.02929689203454582,*,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CT,CCH-CGT,CC-Ave CT,-0.25804854006150824,1.1807727166037338,0.021271631000405126,0.1476457112814167,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CT,CCH-CCU,CC-Ave CT,0.08589793556641345,-0.2179133103260772,0.009370448241897165,0.3380159420076362,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_RD,CCH-P,CC-Ave RD,-0.045443254749199156,0.3257295807177094,0.0036242786132571663,0.5518494978801978,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_RD,CCH-CT,CC-Ave RD,-0.003327799952495283,0.12254262353247446,0.00012895026935102658,0.910718594668962,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_RD,CCH-RD,CC-Ave RD,-0.13599664896038963,0.6876140811086817,0.028892434455623756,0.09088757724481397,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_RD,CCH-CGT,CC-Ave RD,0.11063024711088772,-0.14305824437470863,0.03067457690328359,0.08135200135219381,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_RD,CCH-CCU,CC-Ave RD,0.03226343629399991,-0.001987099433874387,0.010371677255379236,0.313341831429953,(n.s.),100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CGT,CCH-P,CC-Ave CGT,0.3122804273700346,-0.9928091642729209,0.09705143918727936,0.0016047325892558962,**,100
02_コミュニティ分析\02a_性質関係分析\Ave_vs_Hetero\X_CC-Ave_CGT,CCH-CT,CC-Ave CGT,0.013028155766626803,0.06287596291664788,0.0011207363229044339,0.7409030055642156,(n.s.),100
