Folder,Y_Variable,X_Variable,Slope(Beta),Intercept,R_squared,p_value,Significance,N
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_P,ID-Ave CT,ID-Ave P,0.22724447778666645,2.8620108198261156,0.17218089684076215,1.7668795985585656e-05,***,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_P,ID-Ave RD,ID-Ave P,0.04814312178445322,3.0626617013564097,0.0010859200282074502,0.7448190455587603,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_P,ID-Ave DGT,ID-Ave P,-0.08949894604091566,3.8999069733350518,0.004477645266376524,0.5083037871161021,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_P,ID-Ave CDU,ID-Ave P,0.21503288752322358,1.8221740287590722,0.027547693743616743,0.09887122933613626,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CT,ID-Ave P,ID-Ave CT,0.7576901252685352,1.0302016801888598,0.17218089684076215,1.7668795985585656e-05,***,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CT,ID-Ave RD,ID-Ave CT,0.7386242849349905,0.4861664764527842,0.07666166068778534,0.005291785190988008,**,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CT,ID-Ave DGT,ID-Ave CT,-0.20773185081842363,4.331016181319578,0.007234720115378703,0.4001216348970881,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CT,ID-Ave CDU,ID-Ave CT,0.17916668263072497,1.9829682313336776,0.0057357694802098015,0.4539154458927279,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_RD,ID-Ave P,ID-Ave RD,0.022556078375418617,3.7907537439845775,0.0010859200282074502,0.7448190455587603,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_RD,ID-Ave CT,ID-Ave RD,0.10378979171329666,3.4029099444772055,0.07666166068778534,0.005291785190988008,**,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_RD,ID-Ave DGT,ID-Ave RD,-0.2053841635759606,4.221309350726653,0.05032901177412568,0.024839422104572104,*,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_RD,ID-Ave CDU,ID-Ave RD,0.1503484920653313,2.1646324829374928,0.02874380640214329,0.09173502432677001,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_DGT,ID-Ave P,ID-Ave DGT,-0.05003014520784979,4.041842560674902,0.004477645266376524,0.5083037871161021,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_DGT,ID-Ave CT,ID-Ave DGT,-0.03482720674213076,3.863869306956054,0.007234720115378703,0.4001216348970881,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_DGT,ID-Ave RD,ID-Ave DGT,-0.2450481619314903,4.119609064982128,0.05032901177412568,0.024839422104572104,*,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_DGT,ID-Ave CDU,ID-Ave DGT,-0.581976748893704,4.721459920687344,0.36097148687951885,3.8868101326096e-11,***,100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CDU,ID-Ave P,ID-Ave CDU,0.1281092118555195,3.5241489778571236,0.027547693743616743,0.09887122933613626,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CDU,ID-Ave CT,ID-Ave CDU,0.03201359424637907,3.6551563818545554,0.0057357694802098015,0.4539154458927279,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CDU,ID-Ave RD,ID-Ave CDU,0.19118120845304637,2.741471516464027,0.02874380640214329,0.09173502432677001,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_Ave\X_ID-Ave_CDU,ID-Ave DGT,ID-Ave CDU,-0.6202507017087877,5.1996474367429,0.36097148687951885,3.8868101326096e-11,***,100
05_部署1分析\03a_性質関係分析\Ave_vs_IndivHetero\X_ID-Ave_P,IDIH-P,ID-Ave P,-0.4717152339039197,2.0049155094955737,0.4922463370813864,4.2830780414623976e-16,***,100
05_部署1分析\03a_性質関係分析\Ave_vs_IndivHetero\X_ID-Ave_P,IDIH-CT,ID-Ave P,0.012748013016983107,0.15210826640381986,0.0010744402177382821,0.7461254382721488,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_IndivHetero\X_ID-Ave_P,IDIH-RD,ID-Ave P,-0.3907923958069444,1.9202227264304867,0.10960517036588542,0.000766968214915144,***,100
05_部署1分析\03a_性質関係分析\Ave_vs_IndivHetero\X_ID-Ave_P,IDIH-DGT,ID-Ave P,-0.021356837497451254,0.1986832241907447,0.0043037057767653765,0.5166761138363205,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_IndivHetero\X_ID-Ave_P,IDIH-CDU,ID-Ave P,-0.025792620034767885,0.29746833834786635,0.00205746116221693,0.6540662763717154,(n.s.),100
05_部署1分析\03a_性質関係分析\Ave_vs_IndivHetero\X_ID-Ave_CT,IDIH-P,ID-Ave CT,-0.4560563931452086,1.8878852670236352,0.13799441090187856,0.00014171369511220905,***,100
