run_id,turn,unit_type,unit_id,I_count,E_count
1,1,community,0,6.0,0.0
1,1,community,1,4.0,0.0
1,1,community,2,4.0,0.0
1,1,community,3,8.0,0.0
1,1,community,4,6.0,0.0
1,1,department,0,14.0,0.0
1,1,department,1,14.0,0.0
1,2,community,0,6.0,0.0
1,2,community,1,4.0,0.0
1,2,community,2,4.0,0.0
1,2,community,3,8.0,0.0
1,2,community,4,6.0,0.0
1,2,department,0,14.0,0.0
1,2,department,1,14.0,0.0
1,3,community,0,6.0,0.0
1,3,community,1,4.0,0.0
1,3,community,2,4.0,0.0
1,3,community,3,6.0,2.0
1,3,community,4,6.0,2.0
1,3,department,0,14.0,0.0
1,3,department,1,14.0,0.0
1,4,community,0,6.0,0.0
1,4,community,1,4.0,0.0
1,4,community,2,4.0,0.0
1,4,community,3,8.0,2.0
1,4,community,4,4.0,2.0
1,4,department,0,14.0,0.0
1,4,department,1,14.0,0.0
1,5,community,0,6.0,0.0
1,5,community,1,4.0,0.0
1,5,community,2,4.0,0.0
1,5,community,3,8.0,2.0
1,5,community,4,4.0,2.0
1,5,department,0,14.0,0.0
1,5,department,1,14.0,0.0
1,6,community,0,4.0,2.0
1,6,community,1,4.0,2.0
1,6,community,2,4.0,0.0
1,6,community,3,8.0,0.0
1,6,community,4,6.0,0.0
1,6,department,0,14.0,0.0
1,6,department,1,14.0,0.0
1,7,community,0,6.0,0.0
1,7,community,1,4.0,0.0
1,7,community,2,4.0,0.0
1,7,community,3,8.0,2.0
1,7,community,4,4.0,2.0
1,7,department,0,14.0,0.0
1,7,department,1,14.0,0.0
1,8,community,0,6.0,2.0
1,8,community,1,2.0,2.0
1,8,community,2,4.0,0.0
1,8,community,3,6.0,6.0
1,8,community,4,2.0,6.0
1,8,department,0,14.0,0.0
1,8,department,1,14.0,0.0
2,1,community,0,4.0,4.0
2,1,community,1,2.0,4.0
2,1,community,2,0.0,8.0
2,1,community,3,14.0,0.0
2,1,department,0,14.0,0.0
2,1,department,1,14.0,0.0
2,2,community,0,4.0,2.0
2,2,community,1,4.0,0.0
2,2,community,2,4.0,2.0
2,2,community,3,14.0,0.0
2,2,department,0,14.0,0.0
2,2,department,1,14.0,0.0
2,3,community,0,6.0,0.0
2,3,community,1,4.0,2.0
2,3,community,2,2.0,2.0
2,3,community,3,14.0,0.0
2,3,department,0,14.0,0.0
2,3,department,1,14.0,0.0
2,4,community,0,6.0,2.0
2,4,community,1,2.0,2.0
2,4,community,2,2.0,4.0
2,4,community,3,14.0,0.0
2,4,department,0,14.0,0.0
2,4,department,1,14.0,0.0
2,5,community,0,4.0,2.0
2,5,community,1,4.0,2.0
2,5,community,2,4.0,0.0
2,5,community,3,14.0,0.0
2,5,department,0,14.0,0.0
2,5,department,1,14.0,0.0
2,6,community,0,6.0,2.0
2,6,community,1,2.0,2.0
2,6,community,2,4.0,0.0
2,6,community,3,14.0,0.0
2,6,department,0,14.0,0.0
2,6,department,1,14.0,0.0
2,7,community,0,4.0,6.0
2,7,community,1,2.0,2.0
2,7,community,2,2.0,4.0
2,7,community,3,14.0,0.0
2,7,department,0,14.0,0.0
2,7,department,1,14.0,0.0
2,8,community,0,2.0,6.0
2,8,community,1,2.0,6.0
2,8,community,2,4.0,2.0
2,8,community,3,12.0,2.0
2,8,department,0,14.0,2.0
2,8,department,1,12.0,2.0
3,1,community,0,6.0,4.0
3,1,community,1,4.0,4.0
3,1,community,2,4.0,4.0
3,1,community,3,6.0,4.0
3,1,department,0,14.0,0.0
3,1,department,1,14.0,0.0
3,2,community,0,8.0,0.0
3,2,community,1,6.0,0.0
3,2,community,2,4.0,4.0
3,2,community,3,6.0,4.0
3,2,department,0,14.0,0.0
3,2,department,1,14.0,0.0
3,3,community,0,4.0,4.0
3,3,community,1,6.0,4.0
3,3,community,2,4.0,4.0
3,3,community,3,6.0,4.0
3,3,department,0,14.0,0.0
3,3,department,1,14.0,0.0
3,4,community,0,8.0,2.0
3,4,community,1,4.0,2.0
3,4,community,2,6.0,0.0
3,4,community,3,8.0,0.0
3,4,department,0,14.0,0.0
3,4,department,1,14.0,0.0
3,5,community,0,6.0,6.0
3,5,community,1,2.0,6.0
3,5,community,2,4.0,2.0
3,5,community,3,8.0,2.0
3,5,department,0,14.0,0.0
3,5,department,1,14.0,0.0
3,6,community,0,6.0,6.0
