指標,相関(r),P値,ICC,判定
ID-Ave P,0.0817,0.419,0.078,独立 (N=200でOK)
IDIH-P,0.0684,0.4991,0.0665,独立 (N=200でOK)
IDTF-P,0.0452,0.655,0.0474,独立 (N=200でOK)
ID-Ave CT,-0.0575,0.5696,0.0,独立 (N=200でOK)
IDIH-CT,0.0361,0.7215,0.0061,独立 (N=200でOK)
IDTF-CT,-0.0953,0.3457,0.0,独立 (N=200でOK)
ID-Ave RD,0.0238,0.8145,0.0256,独立 (N=200でOK)
IDIH-RD,-0.0105,0.9174,0.0,独立 (N=200でOK)
IDTF-RD,0.0534,0.5976,0.0578,独立 (N=200でOK)
ID-Ave DGT,0.0692,0.4942,0.0654,独立 (N=200でOK)
IDIH-DGT,0.1093,0.279,0.1134,独立 (N=200でOK)
IDTF-DGT,0.1535,0.1273,0.1582,独立 (N=200でOK)
ID-Ave CDU,1.0,2.1510e-225,1.0,連動あり (N=100ペア推奨)
IDIH-CDU,-0.0758,0.4533,0.0,独立 (N=200でOK)
IDTF-CDU,0.9999,4.5530e-183,0.9999,連動あり (N=100ペア推奨)
CDC Score,0.9984,9.9543e-125,0.998,連動あり (N=100ペア推奨)
adj-CDC Score,1.0,0.0000e+00,1.0,連動あり (N=100ペア推奨)
