run_id,pattern_id,is_proximal,has_informal,psychological_safety,psych_leader,psych_colleague,psych_team,task_cohesion,sum_sum_interaction,sum_sum_active_interaction,sum_sum_passive_interaction,output_score_ave,output_score_dept0,output_score_dept1
1,1,0,0,5.284210400864116,5.376883544833822,5.38970064136854,4.760047074444674,5.60882835211241,0,0,0,3.7971045355,3.773598298,3.820610773
2,2,1,0,5.306425809916996,5.442529731349588,5.41967235419389,4.633872108973134,5.555366358200751,0,0,0,3.7717007044999997,3.788186879,3.75521453
3,3,0,1,5.227199072959563,5.293356088417705,5.352268183118944,4.73690010287992,5.6066645269051625,0,0,0,3.82201699,3.829550882,3.814483098
4,4,1,1,5.3110048571435735,5.418225135264167,5.402499503769685,4.775856513987533,5.541318420927832,4,2,2,3.7159727055,3.676867373,3.755078038
5,1,0,0,5.107359515000378,5.234701413431089,5.150079665764978,4.625653467924185,5.374787891605727,0,0,0,3.854747406,3.828320427,3.881174385
6,2,1,0,5.177503740004446,5.2973816495047945,5.319547347845277,4.486434926541464,5.397864306568361,0,0,0,3.984725717,4.051427621,3.918023813
7,3,0,1,5.193611186847308,5.344152183149523,5.250414873139633,4.6094462632585715,5.471419847338639,0,0,0,3.8139681955,3.768292727,3.859643664
8,4,1,1,5.177264631253111,5.245642045930962,5.295805985952747,4.6955358929204065,5.514595512096912,0,0,0,3.8970337730000004,3.913082961,3.880984585
9,1,0,0,5.185941347085043,5.221449283883019,5.344142051338896,4.71028256009879,5.293655904283964,0,0,0,3.8203832479999997,3.97179373,3.668972766
10,2,1,0,5.271973497085285,5.414593696078257,5.340448335849788,4.684338276322525,5.3653733532636485,0,0,0,3.928933227,3.924257444,3.93360901
11,3,0,1,5.257162655937768,5.317405921911198,5.355539690731819,4.846886443498024,5.445843093611591,0,0,0,3.8551390254999998,3.829488899,3.880789152
12,4,1,1,5.173352477055309,5.311847840626464,5.255461767803055,4.56627804126377,5.372640220607627,2,1,1,3.959351918,3.871752443,4.046951393
13,1,0,0,5.158058869486114,5.190023779800809,5.348958052232929,4.616732712132796,5.090500088929119,0,0,0,3.866909788,3.846887055,3.886932521
14,2,1,0,5.244208767432417,5.311943715037908,5.319215646133796,4.86598787431272,5.638202633468422,0,0,0,3.906651451,3.907494793,3.905808109
15,3,0,1,5.030812164294939,5.125709187016037,5.1138340609666,4.552403337231099,5.504441591245374,0,0,0,3.8430293255,3.917856483,3.768202168
16,4,1,1,5.2290163787715285,5.295540662585083,5.421772792910902,4.579678561005658,5.462812204382405,0,0,0,3.8450613615,3.960980505,3.729142218
17,1,0,0,5.212717430016083,5.327149863456561,5.3209716732263415,4.616826895537379,5.594056258410224,0,0,0,3.8692441005,3.906518368,3.831969833
18,2,1,0,5.1439016023606365,5.263247252030071,5.191452427794187,4.674912727340717,5.374161616306289,0,0,0,3.799286037,3.838378575,3.760193499
19,3,0,1,5.13728390370261,5.16260523381066,5.288484347084164,4.708518878821501,5.349405674616449,4,2,2,3.981320756,3.931219315,4.031422197
20,4,1,1,5.165917881234521,5.245331723916536,5.2603511222354715,4.707332124186257,5.5211348140838945,0,0,0,3.8730358860000003,3.897420741,3.848651031
21,1,0,0,5.189346279564963,5.262342987276831,5.296107084630856,4.721247611275601,5.34153027875434,0,0,0,3.7832948615,3.687644295,3.878945428
22,2,1,0,5.179268412930268,5.265942909611125,5.310862005712386,4.612193206396088,5.266989980829174,0,0,0,3.845862563,3.847708467,3.844016659
23,3,0,1,5.114558056492009,5.164925771181605,5.251357933300106,4.644255199870996,5.369977429700492,0,0,0,3.9312078235000003,3.929152333,3.933263314
24,4,1,1,5.159308229327947,5.158526070786489,5.3675701361567585,4.675710255685094,5.4530395601058474,0,0,0,4.0233317825,4.065611329,3.981052236
25,1,0,0,5.185849237807118,5.2988434866589555,5.348907732298224,4.466396670772354,5.245433462105,0,0,0,3.8194070655,3.842342864,3.796471267
26,2,1,0,5.1234572320172065,5.206991950492703,5.236108102134831,4.6100010463162535,5.176708404905157,4,2,2,3.9012289615,3.842006909,3.960451014
27,3,0,1,5.246597400666668,5.277253354128005,5.4019666017557695,4.792101404408091,5.458908181425749,0,0,0,3.9081765795,3.909508459,3.9068447
28,4,1,1,5.23217311764779,5.345827842792619,5.322827545291818,4.679681944377231,5.422653244586665,0,0,0,3.9246489415,3.934314837,3.914983046
29,1,0,0,5.1787114555632305,5.328137949688318,5.282141121772939,4.4890960853653175,5.4621982002464415,0,0,0,3.932269667,4.007666762,3.856872572
30,2,1,0,5.114183238450272,5.171454947327358,5.24225196333272,4.643541087093302,5.246925367461223,0,0,0,3.9065297755,4.051522106,3.761537445
31,3,0,1,5.188645953839922,5.339575820970266,5.2967671381179935,4.483573589133385,5.474855802382101,0,0,0,3.9162320084999998,3.865047267,3.96741675
32,4,1,1,5.174246297910918,5.300523248707889,5.352178453264008,4.380240416362799,5.61601443623769,2,1,1,3.8084847005,3.776252243,3.840717158
33,1,0,0,5.096061403857205,5.163417050316025,5.207674923409914,4.63356291885776,5.346733083761704,0,0,0,3.9485765,4.024660358,3.872492642
34,2,1,0,5.099564749488538,5.203468735089032,5.163495432802046,4.638681198288872,5.428139557536776,0,0,0,3.9798989125,3.951865004,4.007932821
35,3,0,1,5.182552296315829,5.2620541400343495,5.339275379470872,4.578359571131834,5.486523382735257,0,0,0,3.9782734535,3.956979384,3.999567523
36,4,1,1,5.201910935182886,5.3047585203404255,5.332782887263292,4.58800029152265,5.45023169982227,8,4,4,3.9635805604999996,3.872579586,4.054581535
37,1,0,0,5.204688076942552,5.349564819357624,5.253930534236223,4.655158782678768,5.491062996438403,0,0,0,3.8880691699999996,3.918659789,3.857478551
38,2,1,0,5.159874618626495,5.284739747533641,5.2141867671275275,4.65855088540265,5.541802210801772,0,0,0,3.877235802,3.939930676,3.814540928
39,3,0,1,5.172214962796443,5.244822420403287,5.323275791078645,4.601917323984103,5.573227473823337,0,0,0,3.9434173804999997,4.010726964,3.876107797
40,4,1,1,5.1698134635898825,5.2605064872699625,5.279415067102439,4.641997317687009,5.545784440998128,0,0,0,3.8839193355,3.890433788,3.877404883
41,1,0,0,5.233249814992698,5.2930637116935655,5.392045902807092,4.683283919989841,5.464882244203049,0,0,0,3.880104973,3.739575341,4.020634605
42,2,1,0,5.175269541823722,5.2508156698676425,5.325249322890228,4.598678335203446,5.378931773554906,4,2,2,3.7995771215,3.762319341,3.836834902
43,3,0,1,5.241682152000083,5.3454980156561,5.330595549011866,4.722769968004534,5.4282040069221775,0,0,0,3.868953801,3.648104161,4.089803441
44,4,1,1,5.33388933224232,5.401135657324029,5.46547368947788,4.825120190114214,5.6548441447338815,0,0,0,3.9551942909999998,4.065929057,3.844459525
45,1,0,0,5.2310704826395895,5.281187396820466,5.3774290602793355,4.739216392270889,5.430183147522669,0,0,0,3.8003152460000003,3.84059885,3.760031642
46,2,1,0,5.283064615044529,5.388177195642409,5.368379763999068,4.76865819235696,5.54977703159218,0,0,0,3.8828529115,3.844247025,3.921458798
47,3,0,1,5.257581828829418,5.28691638541544,5.391327975320135,4.8575038172596825,5.624481218518477,0,0,0,3.8529358545,3.888226717,3.817644992
48,4,1,1,5.2337021567627176,5.350312823736439,5.350126729955975,4.6122128183906215,5.42731887999078,0,0,0,3.91600144,3.996329635,3.835673245
49,1,0,0,5.2482950636740275,5.339510328547151,5.373147020827521,4.683328035696502,5.360745200988439,0,0,0,3.9840142934999996,3.946256659,4.021771928
50,2,1,0,5.23070590374262,5.294108073330325,5.331219811272768,4.80596694407583,5.596269673216737,0,0,0,3.911844925,3.928992955,3.894696895
51,3,0,1,5.2091404835683095,5.307487204095282,5.366933613921591,4.545916351163066,5.429308920197003,0,0,0,3.913868206,3.910028751,3.917707661
52,4,1,1,5.214279161421478,5.304579613729083,5.322907082178735,4.689912656065067,5.497083959892248,0,0,0,4.012074619,4.153444498,3.87070474
53,1,0,0,5.318300621543371,5.424003989963864,5.411042559078008,4.78479266203441,5.568531052651649,0,0,0,3.8731741025,3.959516687,3.786831518
54,2,1,0,5.286696288099342,5.3603111367294485,5.398348720238596,4.8053294005507565,5.590705391565764,0,0,0,3.7876717725000004,3.833797221,3.741546324
55,3,0,1,5.232824882872826,5.404086398444406,5.290694867526868,4.584010371965322,5.420835430606858,0,0,0,3.9147876630000003,3.91760034,3.911974986
56,4,1,1,5.268147298665492,5.298848137774321,5.443327477158261,4.767291031522547,5.504814153377102,2,1,1,3.862142412,3.935940385,3.788344439
57,1,0,0,5.216896284078065,5.3564284042635295,5.278986953335008,4.6534216952554734,5.347413675317389,0,0,0,3.9652739744999996,4.011959931,3.918588018
58,2,1,0,5.224267921492635,5.254870574562476,5.40457190424686,4.711750669189918,5.373948298723707,0,0,0,3.8982765745,4.004562047,3.791991102
59,3,0,1,5.103305076458784,5.26213736311817,5.191130321845146,4.421882643912443,5.259167607583647,0,0,0,3.8040767405,3.829725425,3.778428056
